1-Jan-09,30.01,30.01,30.01,30.01,0,2011-11-28 17:09:53.795035,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
2-Jan-09,30.18,30.69,29.78,30.43,2050330,2011-11-28 17:09:53.794893,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
5-Jan-09,30.37,30.75,29.98,30.40,2937191,2011-11-28 17:09:53.794754,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
6-Jan-09,30.49,30.65,29.47,29.80,2627061,2011-11-28 17:09:53.794615,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
7-Jan-09,29.45,29.63,29.12,29.30,2476549,2011-11-28 17:09:53.794470,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
8-Jan-09,29.25,29.39,28.87,29.24,1610608,2011-11-28 17:09:53.794332,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
9-Jan-09,29.26,29.40,28.97,29.06,1794175,2011-11-28 17:09:53.794188,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
12-Jan-09,29.07,29.76,28.84,29.31,2399085,2011-11-28 17:09:53.794053,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
13-Jan-09,29.35,29.66,28.95,29.02,3324955,2011-11-28 17:09:53.793929,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
14-Jan-09,28.95,29.36,28.29,29.12,3518030,2011-11-28 17:09:53.793803,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
15-Jan-09,28.99,29.51,28.80,29.41,2027107,2011-11-28 17:09:53.793664,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
16-Jan-09,29.76,30.00,29.47,29.72,1818485,2011-11-28 17:09:53.793539,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
20-Jan-09,29.72,30.43,29.62,29.67,2233509,2011-11-28 17:09:53.793415,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
21-Jan-09,30.01,30.04,29.16,29.98,2171222,2011-11-28 17:09:53.793271,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
22-Jan-09,29.25,30.09,29.25,29.99,1964326,2011-11-28 17:09:53.793125,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
23-Jan-09,29.43,30.37,29.29,30.25,2874130,2011-11-28 17:09:53.792969,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
26-Jan-09,30.49,30.88,30.10,30.30,1850439,2011-11-28 17:09:53.792845,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
27-Jan-09,30.73,30.88,30.27,30.74,1764491,2011-11-28 17:09:53.792721,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
28-Jan-09,30.76,31.38,30.76,31.11,1568895,2011-11-28 17:09:53.792598,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
29-Jan-09,31.07,31.56,30.80,30.97,1362088,2011-11-28 17:09:53.792457,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
30-Jan-09,31.15,31.15,30.22,30.37,1711319,2011-11-28 17:09:53.792318,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
2-Feb-09,30.00,30.90,29.92,30.73,1828786,2011-11-28 17:09:53.792194,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
3-Feb-09,30.88,31.41,30.53,31.30,1598638,2011-11-28 17:09:53.792069,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
4-Feb-09,31.38,31.38,30.37,30.88,2338019,2011-11-28 17:09:53.791913,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
5-Feb-09,30.80,31.04,30.41,30.72,1898351,2011-11-28 17:09:53.791790,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
6-Feb-09,30.72,30.95,30.32,30.56,1898523,2011-11-28 17:09:53.791668,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
9-Feb-09,30.57,31.15,30.21,31.01,2122405,2011-11-28 17:09:53.791546,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
10-Feb-09,30.97,31.07,29.98,30.17,3260328,2011-11-28 17:09:53.791422,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
11-Feb-09,30.23,30.41,30.02,30.25,2409449,2011-11-28 17:09:53.791299,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
12-Feb-09,29.97,30.63,29.86,30.63,1908179,2011-11-28 17:09:53.791175,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
13-Feb-09,30.76,31.03,30.41,30.88,2812425,2011-11-28 17:09:53.791051,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
17-Feb-09,30.52,30.52,29.54,29.78,3202435,2011-11-28 17:09:53.790926,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
18-Feb-09,29.87,30.16,29.13,29.37,3264024,2011-11-28 17:09:53.790782,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
19-Feb-09,29.55,30.12,29.45,29.56,2624935,2011-11-28 17:09:53.790592,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
20-Feb-09,29.29,29.63,29.00,29.45,3669403,2011-11-28 17:09:53.790442,CPB,Consumer Staples,31.58 - 32.21,29.69 - 35.66,32.19,N/P,2.94M/2.24M,10.15B,13.14,0.29/3.66,2.41,320.25M,0.29,40%
